CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F1777,F1778,F1779,F1780,F1781,F1782,
,,,,,General health : Very bad health - Unit : Persons,General health : Total\ General health - Unit : Persons,General health : Very good health - Unit : Persons,General health : Good health - Unit : Persons,General health : Fair health - Unit : Persons,General health : Bad health - Unit : Persons,
402,S12000005,Clackmannanshire,Local Authorities,LA,639,51442,26060,15929,6542,2272,
403,S12000006,Dumfries & Galloway,Local Authorities,LA,1986,151324,74278,47579,20958,6523,
404,S12000008,East Ayrshire,Local Authorities,LA,1992,122767,61156,36681,16678,6260,
405,S12000010,East Lothian,Local Authorities,LA,1143,99717,54423,29285,11333,3533,
406,S12000011,East Renfrewshire,Local Authorities,LA,888,90574,53229,24282,9232,2943,
407,S12000013,Eilean Siar,Local Authorities,LA,326,27684,14898,7722,3756,982,
408,S12000014,Falkirk,Local Authorities,LA,1890,155990,78960,48591,19825,6724,
409,S12000015,Fife,Local Authorities,LA,4265,365198,185567,113324,46877,15165,
410,S12000017,Highland,Local Authorities,LA,2349,232132,125630,69406,26942,7805,
411,S12000018,Inverclyde,Local Authorities,LA,1494,81485,41063,23187,11186,4555,
412,S12000019,Midlothian,Local Authorities,LA,974,83187,44006,24959,9978,3270,
413,S12000020,Moray,Local Authorities,LA,874,93295,50063,29222,10384,2752,
414,S12000021,North Ayrshire,Local Authorities,LA,2204,138146,67602,41939,19234,7167,
415,S12000023,Orkney Islands,Local Authorities,LA,203,21349,11555,6904,2176,511,
416,S12000024,Perth & Kinross,Local Authorities,LA,1502,146652,80111,45072,15499,4468,
417,S12000026,Scottish Borders,Local Authorities,LA,1040,113870,60489,35271,13325,3745,
418,S12000027,Shetland Islands,Local Authorities,LA,178,23167,12653,7187,2536,613,
419,S12000028,South Ayrshire,Local Authorities,LA,1556,112799,57312,34008,14961,4962,
420,S12000029,South Lanarkshire,Local Authorities,LA,4791,313830,161017,91365,41034,15623,
421,S12000030,Stirling,Local Authorities,LA,942,90247,50341,26124,9709,3131,
422,S12000033,Aberdeen City,Local Authorities,LA,1956,222793,120881,69997,23263,6696,
423,S12000034,Aberdeenshire,Local Authorities,LA,1791,252973,140240,79658,25014,6270,
424,S12000035,Argyll & Bute,Local Authorities,LA,982,88166,45463,27123,11225,3373,
425,S12000036,"Edinburgh, City of",Local Authorities,LA,4718,476626,274520,135937,46505,14946,
426,S12000038,Renfrewshire,Local Authorities,LA,2657,174908,90014,51118,22802,8317,
427,S12000039,West Dunbartonshire,Local Authorities,LA,1649,90720,43710,26887,12957,5517,
428,S12000040,West Lothian,Local Authorities,LA,2056,175118,94027,51506,20426,7103,
429,S12000041,Angus,Local Authorities,LA,1194,115978,60413,37120,13302,3949,
430,S12000042,Dundee City,Local Authorities,LA,2210,147268,75918,44382,18027,6731,
431,S12000044,North Lanarkshire,Local Authorities,LA,5971,337727,171224,96104,45852,18576,
432,S12000045,East Dunbartonshire,Local Authorities,LA,1045,105026,59459,29699,11371,3452,
433,S12000046,Glasgow City,Local Authorities,LA,13422,593245,292199,167432,81972,38220,
